Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1728575860702,10/10/2024 15:57:40,1728550660702,-7,10/10/2024 01:57:40,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,40543491,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728575865160,10/10/2024 15:57:45,1728550665160,-7,10/10/2024 01:57:45,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,40543491,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,4463.899999999255,4457.8,4463.899999999255,4463.899999999255,4457.8,4463.899999999255,1,4463.899999999255,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,70
3,1728575865161,10/10/2024 15:57:45,1728550665161,-7,10/10/2024 01:57:45,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,40543491,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728575924633,10/10/2024 15:58:44,1728550724633,-7,10/10/2024 01:58:44,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#2,40543518,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728575925794,10/10/2024 15:58:45,1728550725794,-7,10/10/2024 01:58:45,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#2,40543518,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,1165.800000000745,1159.6999999999998,1165.800000000745,1165.800000000745,1159.6999999999998,1165.800000000745,1,1165.800000000745,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,70
3,1728575925794,10/10/2024 15:58:45,1728550725794,-7,10/10/2024 01:58:45,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#2,40543518,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728576188480,10/10/2024 16:03:08,1728558188480,-5,10/10/2024 06:03:08,187004,3,task-mkiw,repeat-3dmk#6->-repeat-tj2w#1,40543624,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728576190785,10/10/2024 16:03:10,1728558190785,-5,10/10/2024 06:03:10,187004,3,task-mkiw,repeat-3dmk#6->-repeat-tj2w#1,40543624,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2327.540000000001,2310.540000000001,2327.540000000001,2327.540000000001,2310.540000000001,2327.540000000001,1,2327.540000000001,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,61
3,1728576190789,10/10/2024 16:03:10,1728558190789,-5,10/10/2024 06:03:10,187004,3,task-mkiw,repeat-3dmk#6->-repeat-tj2w#1,40543624,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728576331246,10/10/2024 16:05:31,1728558331246,-5,10/10/2024 06:05:31,187004,3,task-mkiw,repeat-3dmk#6->-repeat-tj2w#2,40543686,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
