Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1728500829391,09/10/2024 19:07:09,1728475629391,-7,09/10/2024 05:07:09,187004,3,task-nkxf,repeat-3dmk#1,40526620,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Retry,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728500834901,09/10/2024 19:07:14,1728475634901,-7,09/10/2024 05:07:14,187004,3,task-nkxf,repeat-3dmk#1,40526620,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Retry,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,5515.8000000089405,5513.400000000001,5515.8000000089405,5515.8000000089405,5513.400000000001,5515.8000000089405,1,5515.8000000089405,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,0
3,1728500834901,09/10/2024 19:07:14,1728475634901,-7,09/10/2024 05:07:14,187004,3,task-nkxf,repeat-3dmk#1,40526620,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Retry,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728500962882,09/10/2024 19:09:22,1728482962882,-5,09/10/2024 09:09:22,187004,3,task-nkxf,repeat-3dmk#1,40526686,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728500967446,09/10/2024 19:09:27,1728482967446,-5,09/10/2024 09:09:27,187004,3,task-nkxf,repeat-3dmk#1,40526686,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,4568.852000143052,4557.252,4568.852000143052,4568.852000143052,4557.252,4568.852000143052,1,4568.852000143052,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,0
3,1728500967449,09/10/2024 19:09:27,1728482967449,-5,09/10/2024 09:09:27,187004,3,task-nkxf,repeat-3dmk#1,40526686,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728501052127,09/10/2024 19:10:52,1728483052127,-5,09/10/2024 09:10:52,187004,3,task-nkxf,repeat-3dmk#3,40526728,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728501056959,09/10/2024 19:10:56,1728483056959,-5,09/10/2024 09:10:56,187004,3,task-nkxf,repeat-3dmk#3,40526728,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,4867.2000001430515,4862.200000000001,4867.2000001430515,4867.2000001430515,4862.200000000001,4867.2000001430515,1,4867.2000001430515,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,0
3,1728501056962,09/10/2024 19:10:56,1728483056962,-5,09/10/2024 09:10:56,187004,3,task-nkxf,repeat-3dmk#3,40526728,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728501104909,09/10/2024 19:11:44,1728483104909,-5,09/10/2024 09:11:44,187004,3,task-nkxf,repeat-3dmk#4,40526759,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
