Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
1,1728576237511,10/10/2024 16:03:57,1728551037511,-7,10/10/2024 02:03:57,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,40543648,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1728576239594,10/10/2024 16:03:59,1728551039594,-7,10/10/2024 02:03:59,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,40543648,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,1807.300000000745,1805.5,1807.300000000745,1807.300000000745,1805.5,1807.300000000745,1,1807.300000000745,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1728576251261,10/10/2024 16:04:11,1728551051261,-7,10/10/2024 02:04:11,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,40543648,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,11669,11665.8,11669,11669,11665.8,11669,1,11669,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1728576251269,10/10/2024 16:04:11,1728551051269,-7,10/10/2024 02:04:11,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,40543648,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,7,0,7,7,0,7,1,7,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1728576256434,10/10/2024 16:04:16,1728551056434,-7,10/10/2024 02:04:16,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,40543648,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,5177.200000000001,5173.200000000001,5177.200000000001,5177.200000000001,5173.200000000001,5177.200000000001,1,5177.200000000001,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1728576256435,10/10/2024 16:04:16,1728551056435,-7,10/10/2024 02:04:16,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,40543648,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,9,1881.7999999999993,5173.200000000001,5177.500000000746,1881.7999999999993,5173.200000000001,5177.500000000746,1,1881.7999999999993,3295.7000000007465,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1728576256439,10/10/2024 16:04:16,1728551056439,-7,10/10/2024 02:04:16,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,40543648,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,6.900000000001455,0,6.900000000001455,6.900000000001455,0,6.900000000001455,1,6.900000000001455,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1728576260376,10/10/2024 16:04:20,1728551060376,-7,10/10/2024 02:04:20,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,40543648,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,3945.60000000149,3944.2000000000007,3945.60000000149,3945.60000000149,3944.2000000000007,3945.60000000149,1,3945.60000000149,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1728576260377,10/10/2024 16:04:20,1728551060377,-7,10/10/2024 02:04:20,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,40543648,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,4,2895.7000000000007,3944.2000000000007,3946.10000000149,2895.7000000000007,3944.2000000000007,3946.10000000149,1,2895.7000000000007,1050.4000000014894,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1728576260378,10/10/2024 16:04:20,1728551060378,-7,10/10/2024 02:04:20,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,40543648,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
