Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
1,1728585723931,10/10/2024 18:42:03,1728571323931,-4,10/10/2024 10:42:03,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,40546847,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1728585725046,10/10/2024 18:42:05,1728571325046,-4,10/10/2024 10:42:05,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,40546847,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,1124.1120000059605,1115.8120000000004,1124.1120000059605,1124.1120000059605,1115.8120000000004,1124.1120000059605,1,1124.1120000059605,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1728585728037,10/10/2024 18:42:08,1728571328037,-4,10/10/2024 10:42:08,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,40546847,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,2999.2000000119206,2998.5999999999995,2999.2000000119206,2999.2000000119206,2998.5999999999995,2999.2000000119206,1,2999.2000000119206,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1728585730740,10/10/2024 18:42:10,1728571330740,-4,10/10/2024 10:42:10,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,40546847,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,6,2698.6000000000013,2681.9000000000005,2698.6000000000013,2698.6000000000013,2681.9000000000005,2698.6000000000013,0,2698.6000000000013,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,0,1
5,1728585742181,10/10/2024 18:42:22,1728571342181,-4,10/10/2024 10:42:22,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,40546847,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,4,10461.499999999998,10444.9,10461.499999999998,10461.499999999998,10444.9,10461.499999999998,0,10461.499999999998,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,0,2
6,1728585748404,10/10/2024 18:42:28,1728571348404,-4,10/10/2024 10:42:28,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,40546847,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,3,5241.199999988079,5230.799999999999,5241.199999988079,5241.199999988079,5230.799999999999,5241.199999988079,0,5241.199999988079,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,0,3
7,1728585749393,10/10/2024 18:42:29,1728571349393,-4,10/10/2024 10:42:29,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,40546847,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
1,1728585826937,10/10/2024 18:43:46,1728571426937,-4,10/10/2024 10:43:46,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#3,40546893,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1728585827862,10/10/2024 18:43:47,1728571427862,-4,10/10/2024 10:43:47,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#3,40546893,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,940.3780000059605,932.6779999999999,940.3780000059605,940.3780000059605,932.6779999999999,940.3780000059605,1,940.3780000059605,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1728585830853,10/10/2024 18:43:50,1728571430853,-4,10/10/2024 10:43:50,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#3,40546893,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,2999.2000000059606,2998.4000000000005,2999.2000000059606,2999.2000000059606,2998.4000000000005,2999.2000000059606,1,2999.2000000059606,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
