Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1728585763620,10/10/2024 18:42:43,1728571363620,-4,10/10/2024 10:42:43,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,40546870,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1728585765250,10/10/2024 18:42:45,1728571365250,-4,10/10/2024 10:42:45,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,40546870,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,1581.8999999940397,1565.9,1581.8999999940397,1581.8999999940397,1565.9,1581.8999999940397,1,1581.8999999940397,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1728585766969,10/10/2024 18:42:46,1728571366969,-4,10/10/2024 10:42:46,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,40546870,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,1734.4999999940396,1732.5000000000005,1734.4999999940396,1734.4999999940396,1732.5000000000005,1734.4999999940396,1,1734.4999999940396,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1728585769940,10/10/2024 18:42:49,1728571369940,-4,10/10/2024 10:42:49,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,40546870,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,2972.8999999999996,2965.199999999999,2972.8999999999996,2972.8999999999996,2965.199999999999,2972.8999999999996,1,2972.8999999999996,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1728585778834,10/10/2024 18:42:58,1728571378834,-4,10/10/2024 10:42:58,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,40546870,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,8902.29999999404,8895.600000000002,8902.29999999404,8902.29999999404,8895.600000000002,8902.29999999404,1,8902.29999999404,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1728585779903,10/10/2024 18:42:59,1728571379903,-4,10/10/2024 10:42:59,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,40546870,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,1075.3999999821172,1066.0999999999985,1075.3999999821172,1075.3999999821172,1066.0999999999985,1075.3999999821172,1,1075.3999999821172,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1728585779905,10/10/2024 18:42:59,1728571379905,-4,10/10/2024 10:42:59,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,40546870,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1728585819707,10/10/2024 18:43:39,1728571419707,-4,10/10/2024 10:43:39,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#3,40546891,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1728585820867,10/10/2024 18:43:40,1728571420867,-4,10/10/2024 10:43:40,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#3,40546891,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,1109.6999999821187,1099.7000000000003,1109.6999999821187,1109.6999999821187,1099.7000000000003,1109.6999999821187,1,1109.6999999821187,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1728585821433,10/10/2024 18:43:41,1728571421433,-4,10/10/2024 10:43:41,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#3,40546891,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,575.599999976158,566.3000000000002,575.599999976158,575.599999976158,566.3000000000002,575.599999976158,1,575.599999976158,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1728585821721,10/10/2024 18:43:41,1728571421721,-4,10/10/2024 10:43:41,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#3,40546891,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,297.4999999940392,283.1999999999998,297.4999999940392,297.4999999940392,283.1999999999998,297.4999999940392,1,297.4999999940392,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1728585822026,10/10/2024 18:43:42,1728571422026,-4,10/10/2024 10:43:42,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#3,40546891,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,319.29999999403935,316.5,319.29999999403935,319.29999999403935,316.5,319.29999999403935,1,319.29999999403935,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1728585822325,10/10/2024 18:43:42,1728571422325,-4,10/10/2024 10:43:42,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#3,40546891,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,301.8999999880789,299.8000000000002,301.8999999880789,301.8999999880789,299.8000000000002,301.8999999880789,1,301.8999999880789,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1728585822329,10/10/2024 18:43:42,1728571422329,-4,10/10/2024 10:43:42,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#3,40546891,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1728585861711,10/10/2024 18:44:21,1728571461711,-4,10/10/2024 10:44:21,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#4,40546909,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
