Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
1,1728575803282,10/10/2024 15:56:43,1728550603282,-7,10/10/2024 01:56:43,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,40543476,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1728575818200,10/10/2024 15:56:58,1728550618200,-7,10/10/2024 01:56:58,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,40543476,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,14922.699999999999,14915.699999999999,14922.699999999999,14922.699999999999,14915.699999999999,14922.699999999999,1,14922.699999999999,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1728575821193,10/10/2024 15:57:01,1728550621193,-7,10/10/2024 01:57:01,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,40543476,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3001.5999999992564,2999.7000000000007,3001.5999999992564,3001.5999999992564,2999.7000000000007,3001.5999999992564,1,3001.5999999992564,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1728575827596,10/10/2024 15:57:07,1728550627596,-7,10/10/2024 01:57:07,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,40543476,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,6,6404.700000000001,6402.299999999999,6404.700000000001,6404.700000000001,6402.299999999999,6404.700000000001,0,6404.700000000001,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,0,1
5,1728575840151,10/10/2024 15:57:20,1728550640151,-7,10/10/2024 01:57:20,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,40543476,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,11555.099999999999,11548.099999999999,11555.099999999999,11555.099999999999,11548.099999999999,11555.099999999999,1,11555.099999999999,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,2
6,1728575852142,10/10/2024 15:57:32,1728550652142,-7,10/10/2024 01:57:32,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,40543476,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,4,10999.199999999997,10992.199999999997,10999.199999999997,10999.199999999997,10992.199999999997,10999.199999999997,0,10999.199999999997,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,3
7,1728575853134,10/10/2024 15:57:33,1728550653134,-7,10/10/2024 01:57:33,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,40543476,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
1,1728575889786,10/10/2024 15:58:09,1728550689786,-7,10/10/2024 01:58:09,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,40543501,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1728575893559,10/10/2024 15:58:13,1728550693559,-7,10/10/2024 01:58:13,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,40543501,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,6803.9000000003725,6798.7,6803.9000000003725,6803.9000000003725,6798.7,6803.9000000003725,1,6803.9000000003725,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1728575896554,10/10/2024 15:58:16,1728550696554,-7,10/10/2024 01:58:16,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,40543501,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3000.2000000003727,2999.8,3000.2000000003727,3000.2000000003727,2999.8,3000.2000000003727,1,3000.2000000003727,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
