Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1728576879546,10/10/2024 16:14:39,1728558879546,-5,10/10/2024 06:14:39,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1728576881096,10/10/2024 16:14:41,1728558881096,-5,10/10/2024 06:14:41,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,1,instructions,Screen 5,e3ks8t,1,continue,,1588.5,1581.6000000000004,1588.5,1588.5,1581.6000000000004,1588.5,1,1588.5,0,0,,Click To Continue,Continue Button,2,object-68,instructions,,,,,,,,
3,1728576884137,10/10/2024 16:14:44,1728558884137,-5,10/10/2024 06:14:44,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,1,instructions,Screen 6,yf7ssf,2,timedOut,,3013.2999999999975,2997.199999999999,3013.2999999999975,3013.2999999999975,2997.199999999999,3013.2999999999975,1,3013.2999999999975,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,,
4,1728576884221,10/10/2024 16:14:44,1728558884221,-5,10/10/2024 06:14:44,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 1,l8m57c,1,info,,16.099999999998545,0,16.099999999998545,16.099999999998545,0,16.099999999998545,1,16.099999999998545,0,0,,Slider,Slider,4,object-51,image,383,01eaa9d3e93ad66b6182e77489aa56ea.jpg,target,,J,,filler,
5,1728576889674,10/10/2024 16:14:49,1728558889674,-5,10/10/2024 06:14:49,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 1,l8m57c,1,continue,,5588.400000047684,5577.9000000000015,5588.400000047684,5588.400000047684,5577.9000000000015,5588.400000047684,1,5588.400000047684,0,0,,Click To Continue,Continue Button,7,object-69,image,383,01eaa9d3e93ad66b6182e77489aa56ea.jpg,target,,J,,filler,
6,1728576889682,10/10/2024 16:14:49,1728558889682,-5,10/10/2024 06:14:49,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 1,l8m57c,1,response,7,4062.4000000000015,5577.9000000000015,5594.100000000002,4062.4000000000015,5577.9000000000015,5594.100000000002,1,4062.4000000000015,1531.7000000000007,0,,Slider,Slider,4,object-51,image,383,01eaa9d3e93ad66b6182e77489aa56ea.jpg,target,,J,,filler,
7,1728576889707,10/10/2024 16:14:49,1728558889707,-5,10/10/2024 06:14:49,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 2,7vpf45,2,info,,16.200000000000728,0,16.200000000000728,16.200000000000728,0,16.200000000000728,1,16.200000000000728,0,0,,Slider,Slider,4,object-78,image,383,01eaa9d3e93ad66b6182e77489aa56ea.jpg,target,,J,,filler,
8,1728576891835,10/10/2024 16:14:51,1728558891835,-5,10/10/2024 06:14:51,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 2,7vpf45,2,continue,,2171.5999999523156,2164.5999999999985,2171.5999999523156,2171.5999999523156,2164.5999999999985,2171.5999999523156,1,2171.5999999523156,0,0,,Click To Continue,Continue Button,7,object-82,image,383,01eaa9d3e93ad66b6182e77489aa56ea.jpg,target,,J,,filler,
9,1728576891837,10/10/2024 16:14:51,1728558891837,-5,10/10/2024 06:14:51,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 2,7vpf45,2,response,7,1598.2000000000007,2164.5999999999985,2173.0999999523156,1598.2000000000007,2164.5999999999985,2173.0999999523156,1,1598.2000000000007,574.8999999523148,0,,Slider,Slider,4,object-78,image,383,01eaa9d3e93ad66b6182e77489aa56ea.jpg,target,,J,,filler,
10,1728576891901,10/10/2024 16:14:51,1728558891901,-5,10/10/2024 06:14:51,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,2,image,Screen 1,l8m57c,1,info,,16.299999999999272,0,16.299999999999272,16.299999999999272,0,16.299999999999272,1,16.299999999999272,0,0,,Slider,Slider,4,object-51,image,1911,NegHighNonsoc_10.jpg,target,,F,,target,
