Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1728585906672,10/10/2024 18:45:06,1728571506672,-4,10/10/2024 10:45:06,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1728585911763,10/10/2024 18:45:11,1728571511763,-4,10/10/2024 10:45:11,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,1,instructions,Screen 8,bajjy3,1,continue,,5096.106,5079.505999999999,5096.106,5096.106,5079.505999999999,5096.106,1,5096.106,0,0,,Click To Continue,Continue Button,2,object-1931,instructions,,,,,,,
3,1728585914746,10/10/2024 18:45:14,1728571514746,-4,10/10/2024 10:45:14,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,1,instructions,Screen 9,bxwq68,2,timedOut,,2999.8000000178818,2998.7000000000007,2999.8000000178818,2999.8000000178818,2998.7000000000007,2999.8000000178818,1,2999.8000000178818,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,
4,1728585918265,10/10/2024 18:45:18,1728571518265,-4,10/10/2024 10:45:18,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,1,image,Screen 3,zz7hbh,1,response,4,3520.2000000119206,3514.7999999999993,3520.2000000119206,3520.2000000119206,3514.7999999999993,3520.2000000119206,1,3520.2000000119206,0,0,,Keyboard Response,Image,1,object-1907,image,1991,3d59b2b50b93bc6789d97509f8441be6.jpg,target,F,,filler,
5,1728585920031,10/10/2024 18:45:20,1728571520031,-4,10/10/2024 10:45:20,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,2,image,Screen 3,zz7hbh,1,response,4,1772.0000000059608,1765.8999999999996,1772.0000000059608,1772.0000000059608,1765.8999999999996,1772.0000000059608,1,1772.0000000059608,0,0,,Keyboard Response,Image,1,object-1907,image,23,ffbf67b06880abe66cf01e4026e70732.jpg,target,F,,filler,
6,1728585921889,10/10/2024 18:45:21,1728571521889,-4,10/10/2024 10:45:21,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,3,image,Screen 3,zz7hbh,1,response,4,1863.9000000178821,1849,1863.9000000178821,1863.9000000178821,1849,1863.9000000178821,1,1863.9000000178821,0,0,,Keyboard Response,Image,1,object-1907,image,1751,fdda6cc29804708ad31e75527cd76e9c.jpg,target,F,,filler,
7,1728585924192,10/10/2024 18:45:24,1728571524192,-4,10/10/2024 10:45:24,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,4,image,Screen 3,zz7hbh,1,response,3,2315.600000000002,2298.9000000000015,2315.600000000002,2315.600000000002,2298.9000000000015,2315.600000000002,1,2315.600000000002,0,0,,Keyboard Response,Image,1,object-1907,image,31,Landscapes_005_h.jpg,target,F,,filler,
8,1728585926644,10/10/2024 18:45:26,1728571526644,-4,10/10/2024 10:45:26,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,5,image,Screen 3,zz7hbh,1,response,3,2470.7999999999993,2465.5,2470.7999999999993,2470.7999999999993,2465.5,2470.7999999999993,1,2470.7999999999993,0,0,,Keyboard Response,Image,1,object-1907,image,2161,fe5e73a188c13e29c0d52cc4fd6f28e9.jpg,target,J,,target,
9,1728585929273,10/10/2024 18:45:29,1728571529273,-4,10/10/2024 10:45:29,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,6,image,Screen 3,zz7hbh,1,response,3,2631.899999999998,2615.2999999999993,2631.899999999998,2631.899999999998,2615.2999999999993,2631.899999999998,1,2631.899999999998,0,0,,Keyboard Response,Image,1,object-1907,image,2311,Destruction 2.jpg,target,J,,target,
10,1728585931319,10/10/2024 18:45:31,1728571531319,-4,10/10/2024 10:45:31,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,7,image,Screen 3,zz7hbh,1,response,3,2064.800000011921,2049,2064.800000011921,2064.800000011921,2049,2064.800000011921,1,2064.800000011921,0,0,,Keyboard Response,Image,1,object-1907,image,240,3ad1eaf82976bfcd62fdf7efe3f73714.jpg,target,J,,target,
