Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: ,Spreadsheet: randomise,Manipulation: Spreadsheet
1,1728500935658,09/10/2024 19:08:55,1728475735658,-7,09/10/2024 05:08:55,187004,3,task-5hh6,repeat-3dmk#2,40526671,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1728500943938,09/10/2024 19:09:03,1728475743938,-7,09/10/2024 05:09:03,187004,3,task-5hh6,repeat-3dmk#2,40526671,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),1,instructions,Screen 1,1x4yic,1,continue,,0,0,0,8290.29999999702,8284.2,8290.29999999702,1,0,0,0,,Click To Continue,Continue Button,2,object-30,instructions,,,,,,,
3,1728500946932,09/10/2024 19:09:06,1728475746932,-7,09/10/2024 05:09:06,187004,3,task-5hh6,repeat-3dmk#2,40526671,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),1,instructions,Screen 2,1xhd4m,2,timedOut,,3000.2999999999993,2999.7999999999993,3000.2999999999993,3000.2999999999993,2999.7999999999993,3000.2999999999993,1,3000.2999999999993,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,
4,1728500947291,09/10/2024 19:09:07,1728475747291,-7,09/10/2024 05:09:07,187004,3,task-5hh6,repeat-3dmk#2,40526671,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),1,image,Screen 4,4bf4ft,1,response,F,359.19999998807907,354.09999999999854,359.19999998807907,359.19999998807907,354.09999999999854,359.19999998807907,0,359.19999998807907,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,,filler,J,fde1832ad64ad2101e5e387e3143908f.jpg,,1,
5,1728500947932,09/10/2024 19:09:07,1728475747932,-7,09/10/2024 05:09:07,187004,3,task-5hh6,repeat-3dmk#2,40526671,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),1,image,Screen 4,4bf4ft,1,timedOut,,1000.0999999940395,999.7999999999993,1000.0999999940395,1000.0999999940395,999.7999999999993,1000.0999999940395,0,1000.0999999940395,0,0,,Time Limit,screen,0,screen,image,,filler,J,fde1832ad64ad2101e5e387e3143908f.jpg,,1,
6,1728500948335,09/10/2024 19:09:08,1728475748335,-7,09/10/2024 05:09:08,187004,3,task-5hh6,repeat-3dmk#2,40526671,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),1,image,Screen 5,nseref,2,continue,,402.7999999999993,402.7999999999993,402.7999999999993,402.7999999999993,402.7999999999993,402.7999999999993,1,402.7999999999993,0,0,,Fixation Timing,Fixation,1,object-45,image,,filler,J,fde1832ad64ad2101e5e387e3143908f.jpg,,1,
7,1728500948841,09/10/2024 19:09:08,1728475748841,-7,09/10/2024 05:09:08,187004,3,task-5hh6,repeat-3dmk#2,40526671,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),2,image,Screen 4,4bf4ft,1,response,F,506.8999999999978,500,506.8999999999978,506.8999999999978,500,506.8999999999978,0,506.8999999999978,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,,filler,J,972fb942db7626855284740dbe9e1f47.jpg,,1,
8,1728500949335,09/10/2024 19:09:09,1728475749335,-7,09/10/2024 05:09:09,187004,3,task-5hh6,repeat-3dmk#2,40526671,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),2,image,Screen 4,4bf4ft,1,timedOut,,1000.2999999910608,1000,1000.2999999910608,1000.2999999910608,1000,1000.2999999910608,0,1000.2999999910608,0,0,,Time Limit,screen,0,screen,image,,filler,J,972fb942db7626855284740dbe9e1f47.jpg,,1,
9,1728500949737,09/10/2024 19:09:09,1728475749737,-7,09/10/2024 05:09:09,187004,3,task-5hh6,repeat-3dmk#2,40526671,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),2,image,Screen 5,nseref,2,continue,,402.8000000000029,402.8000000000029,402.8000000000029,402.8000000000029,402.8000000000029,402.8000000000029,1,402.8000000000029,0,0,,Fixation Timing,Fixation,1,object-45,image,,filler,J,972fb942db7626855284740dbe9e1f47.jpg,,1,
10,1728500950157,09/10/2024 19:09:10,1728475750157,-7,09/10/2024 05:09:10,187004,3,task-5hh6,repeat-3dmk#2,40526671,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),3,image,Screen 4,4bf4ft,1,response,F,419.99999999105785,416.5,419.99999999105785,419.99999999105785,416.5,419.99999999105785,0,419.99999999105785,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,,filler,J,51d53cc6937b0273cf520a39f6ee3aac.jpg,,1,
