Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1726595693230,17/09/2024 17:54:53,1726581293230,-4,17/09/2024 09:54:53,187004,3,questionnaire-nzx6,,40123962,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1726595696785,17/09/2024 17:54:56,1726581296785,-4,17/09/2024 09:54:56,187004,3,questionnaire-nzx6,,40123962,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1726595696785,17/09/2024 17:54:56,1726581296785,-4,17/09/2024 09:54:56,187004,3,questionnaire-nzx6,,40123962,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,,info,,END,,,,,
1,1726595850796,17/09/2024 17:57:30,1726577850796,-5,17/09/2024 07:57:30,187004,3,questionnaire-nzx6,,40123964,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,681x683,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1726595861217,17/09/2024 17:57:41,1726577861217,-5,17/09/2024 07:57:41,187004,3,questionnaire-nzx6,,40123964,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,681x683,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1726595861217,17/09/2024 17:57:41,1726577861217,-5,17/09/2024 07:57:41,187004,3,questionnaire-nzx6,,40123964,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,681x683,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,END,,,,,
1,1726595724084,17/09/2024 17:55:24,1726570524084,-7,17/09/2024 03:55:24,187004,3,questionnaire-nzx6,,40123977,BLIND,11716967,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x1080,,,0,Consent Form,4,Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1726595736660,17/09/2024 17:55:36,1726570536660,-7,17/09/2024 03:55:36,187004,3,questionnaire-nzx6,,40123977,BLIND,11716967,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x1080,,,0,Consent Form,4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1726595736660,17/09/2024 17:55:36,1726570536660,-7,17/09/2024 03:55:36,187004,3,questionnaire-nzx6,,40123977,BLIND,11716967,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x1080,,,0,Consent Form,4,Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,END,,,,,
1,1726595760905,17/09/2024 17:56:00,1726581360905,-4,17/09/2024 09:56:00,187004,3,questionnaire-nzx6,,40123983,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Consent Form,4,Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
