Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1726595781933,17/09/2024 17:56:21,1726581381933,-4,17/09/2024 09:56:21,187004,3,task-3bxn,repeat-3dmk#3,40124029,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Advance,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1726595784043,17/09/2024 17:56:24,1726581384043,-4,17/09/2024 09:56:24,187004,3,task-3bxn,repeat-3dmk#3,40124029,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Advance,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,2130.248000011921,2116.6479999999997,2130.248000011921,2130.248000011921,2116.6479999999997,2130.248000011921,1,2130.248000011921,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1726595784044,17/09/2024 17:56:24,1726581384044,-4,17/09/2024 09:56:24,187004,3,task-3bxn,repeat-3dmk#3,40124029,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Advance,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1726595842759,17/09/2024 17:57:22,1726581442759,-4,17/09/2024 09:57:22,187004,3,task-3bxn,repeat-3dmk#2,40124045,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Advance,3,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1726595847973,17/09/2024 17:57:27,1726581447973,-4,17/09/2024 09:57:27,187004,3,task-3bxn,repeat-3dmk#2,40124045,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Advance,3,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,5217.68,5215.58,5217.68,5217.68,5215.58,5217.68,1,5217.68,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1726595847974,17/09/2024 17:57:27,1726581447974,-4,17/09/2024 09:57:27,187004,3,task-3bxn,repeat-3dmk#2,40124045,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Advance,3,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1726595819176,17/09/2024 17:56:59,1726570619176,-7,17/09/2024 03:56:59,187004,3,task-3bxn,repeat-3dmk#2,40124052,BLIND,11716967,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x1080,,,0,Advance,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1726595820934,17/09/2024 17:57:00,1726570620934,-7,17/09/2024 03:57:00,187004,3,task-3bxn,repeat-3dmk#2,40124052,BLIND,11716967,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x1080,,,0,Advance,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,1772.4000000119213,1766.6000000000004,1772.4000000119213,1772.4000000119213,1766.6000000000004,1772.4000000119213,1,1772.4000000119213,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1726595820935,17/09/2024 17:57:00,1726570620935,-7,17/09/2024 03:57:00,187004,3,task-3bxn,repeat-3dmk#2,40124052,BLIND,11716967,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x1080,,,0,Advance,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1726595967986,17/09/2024 17:59:27,1726577967986,-5,17/09/2024 07:59:27,187004,3,task-3bxn,repeat-3dmk#3,40124055,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,681x683,,,0,Advance,3,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
