Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
1,1726680536845,18/09/2024 17:28:56,1726666136845,-4,18/09/2024 09:28:56,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#5,40145721,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1726680538791,18/09/2024 17:28:58,1726666138791,-4,18/09/2024 09:28:58,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#5,40145721,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,1848.8999999910593,1833.1999999999998,1848.8999999910593,1848.8999999910593,1833.1999999999998,1848.8999999910593,1,1848.8999999910593,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1726680544015,18/09/2024 17:29:04,1726666144015,-4,18/09/2024 09:29:04,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#5,40145721,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,5239.59999999702,5233.3,5239.59999999702,5239.59999999702,5233.3,5239.59999999702,1,5239.59999999702,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1726680544026,18/09/2024 17:29:04,1726666144026,-4,18/09/2024 09:29:04,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#5,40145721,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,16.899999999999636,0,16.899999999999636,16.899999999999636,0,16.899999999999636,1,16.899999999999636,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1726680547576,18/09/2024 17:29:07,1726666147576,-4,18/09/2024 09:29:07,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#5,40145721,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,3566.399999999998,3549.7999999999993,3566.399999999998,3566.399999999998,3549.7999999999993,3566.399999999998,1,3566.399999999998,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1726680547580,18/09/2024 17:29:07,1726666147580,-4,18/09/2024 09:29:07,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#5,40145721,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,8,2049.5,3549.7999999999993,3566.399999999998,2049.5,3549.7999999999993,3566.399999999998,1,2049.5,1516.8999999999978,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1726680547588,18/09/2024 17:29:07,1726666147588,-4,18/09/2024 09:29:07,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#5,40145721,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,16.599999999998545,0,16.599999999998545,16.599999999998545,0,16.599999999998545,1,16.599999999998545,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1726680550415,18/09/2024 17:29:10,1726666150415,-4,18/09/2024 09:29:10,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#5,40145721,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,2856.2999999940403,2849.5,2856.2999999940403,2856.2999999940403,2849.5,2856.2999999940403,1,2856.2999999940403,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1726680550415,18/09/2024 17:29:10,1726666150415,-4,18/09/2024 09:29:10,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#5,40145721,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,7,1583.300000000001,2849.5,2856.900000002981,1583.300000000001,2849.5,2856.900000002981,1,1583.300000000001,1273.6000000029799,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1726680550417,18/09/2024 17:29:10,1726666150417,-4,18/09/2024 09:29:10,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#5,40145721,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
