Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Manipulation: Spreadsheet,Store: Total,Store: correct
1,1726595701862,17/09/2024 17:55:01,1726581301862,-4,17/09/2024 09:55:01,187004,3,task-icdl,,40123969,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1726595702603,17/09/2024 17:55:02,1726581302603,-4,17/09/2024 09:55:02,187004,3,task-icdl,,40123969,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,752.2900000119207,749.79,752.2900000119207,752.2900000119207,749.79,752.2900000119207,1,752.2900000119207,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1726595702604,17/09/2024 17:55:02,1726581302604,-4,17/09/2024 09:55:02,187004,3,task-icdl,,40123969,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1726595868864,17/09/2024 17:57:48,1726577868864,-5,17/09/2024 07:57:48,187004,3,task-icdl,,40123976,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,681x683,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1726595870438,17/09/2024 17:57:50,1726577870438,-5,17/09/2024 07:57:50,187004,3,task-icdl,,40123976,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,681x683,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,1599.9360000000006,1583.2700000000004,1599.9360000000006,1599.9360000000006,1583.2700000000004,1599.9360000000006,1,1599.9360000000006,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1726595870442,17/09/2024 17:57:50,1726577870442,-5,17/09/2024 07:57:50,187004,3,task-icdl,,40123976,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,681x683,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1726595743571,17/09/2024 17:55:43,1726570543571,-7,17/09/2024 03:55:43,187004,3,task-icdl,,40123992,BLIND,11716967,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x1080,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,1,Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1726595744637,17/09/2024 17:55:44,1726570544637,-7,17/09/2024 03:55:44,187004,3,task-icdl,,40123992,BLIND,11716967,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x1080,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,1,Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,1089.1999999999998,1083.3000000000002,1089.1999999999998,1089.1999999999998,1083.3000000000002,1089.1999999999998,1,1089.1999999999998,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1726595744638,17/09/2024 17:55:44,1726570544638,-7,17/09/2024 03:55:44,187004,3,task-icdl,,40123992,BLIND,11716967,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x1080,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,1,Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1726595781225,17/09/2024 17:56:21,1726581381225,-4,17/09/2024 09:56:21,187004,3,task-icdl,,40123996,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,2,,Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
