Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1726595732557,17/09/2024 17:55:32,1726581332557,-4,17/09/2024 09:55:32,187004,3,task-nkxf,repeat-3dmk#1,40123990,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1726595735109,17/09/2024 17:55:35,1726581335109,-4,17/09/2024 09:55:35,187004,3,task-nkxf,repeat-3dmk#1,40123990,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2556.209999976158,2549.61,2556.209999976158,2556.209999976158,2549.61,2556.209999976158,1,2556.209999976158,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,3
3,1726595735109,17/09/2024 17:55:35,1726581335109,-4,17/09/2024 09:55:35,187004,3,task-nkxf,repeat-3dmk#1,40123990,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1726595758106,17/09/2024 17:55:58,1726581358106,-4,17/09/2024 09:55:58,187004,3,task-nkxf,repeat-3dmk#2,40124009,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1726595760217,17/09/2024 17:56:00,1726581360217,-4,17/09/2024 09:56:00,187004,3,task-nkxf,repeat-3dmk#2,40124009,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2118.899999976158,2116.1000000000004,2118.899999976158,2118.899999976158,2116.1000000000004,2118.899999976158,1,2118.899999976158,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,4
3,1726595760218,17/09/2024 17:56:00,1726581360218,-4,17/09/2024 09:56:00,187004,3,task-nkxf,repeat-3dmk#2,40124009,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1726595915148,17/09/2024 17:58:35,1726577915148,-5,17/09/2024 07:58:35,187004,3,task-nkxf,repeat-3dmk#1,40124010,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,681x683,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1726595917265,17/09/2024 17:58:37,1726577917265,-5,17/09/2024 07:58:37,187004,3,task-nkxf,repeat-3dmk#1,40124010,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,681x683,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2132.8349998569493,2117.1010000000006,2132.8349998569493,2132.8349998569493,2117.1010000000006,2132.8349998569493,1,2132.8349998569493,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,4
3,1726595917268,17/09/2024 17:58:37,1726577917268,-5,17/09/2024 07:58:37,187004,3,task-nkxf,repeat-3dmk#1,40124010,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,681x683,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1726595815534,17/09/2024 17:56:55,1726581415534,-4,17/09/2024 09:56:55,187004,3,task-nkxf,repeat-3dmk#1,40124021,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Retry,3,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1726595818993,17/09/2024 17:56:58,1726581418993,-4,17/09/2024 09:56:58,187004,3,task-nkxf,repeat-3dmk#1,40124021,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Retry,3,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,3461.18,3460.28,3461.18,3461.18,3460.28,3461.18,1,3461.18,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,4
3,1726595818993,17/09/2024 17:56:58,1726581418993,-4,17/09/2024 09:56:58,187004,3,task-nkxf,repeat-3dmk#1,40124021,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Retry,3,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1726595791197,17/09/2024 17:56:31,1726570591197,-7,17/09/2024 03:56:31,187004,3,task-nkxf,repeat-3dmk#1,40124027,BLIND,11716967,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x1080,,,0,Retry,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1726595793179,17/09/2024 17:56:33,1726570593179,-7,17/09/2024 03:56:33,187004,3,task-nkxf,repeat-3dmk#1,40124027,BLIND,11716967,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x1080,,,0,Retry,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,1999.4999999761585,1983.4000000000005,1999.4999999761585,1999.4999999761585,1983.4000000000005,1999.4999999761585,1,1999.4999999761585,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,3
