Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
1,1726680246711,18/09/2024 17:24:06,1726665846711,-4,18/09/2024 09:24:06,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,40145618,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1726680251904,18/09/2024 17:24:11,1726665851904,-4,18/09/2024 09:24:11,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,40145618,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,7385,7373.9,7385,7385,7373.9,7385,1,7385,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1726680254894,18/09/2024 17:24:14,1726665854894,-4,18/09/2024 09:24:14,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,40145618,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3000.69999999404,2999.7000000000007,3000.69999999404,3000.69999999404,2999.7000000000007,3000.69999999404,1,3000.69999999404,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1726680256264,18/09/2024 17:24:16,1726665856264,-4,18/09/2024 09:24:16,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,40145618,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,6,1370.3999999999996,1366.6000000000004,1370.3999999999996,1370.3999999999996,1366.6000000000004,1370.3999999999996,0,1370.3999999999996,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,0,1
5,1726680259019,18/09/2024 17:24:19,1726665859019,-4,18/09/2024 09:24:19,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,40145618,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,1,1759.2000000000007,1749.9000000000015,1759.2000000000007,1759.2000000000007,1749.9000000000015,1759.2000000000007,0,1759.2000000000007,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,0,2
6,1726680263672,18/09/2024 17:24:23,1726665863672,-4,18/09/2024 09:24:23,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,40145618,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,4,3661.8999999999996,3649.8999999999996,3661.8999999999996,3661.8999999999996,3649.8999999999996,3661.8999999999996,0,3661.8999999999996,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,0,3
7,1726680264660,18/09/2024 17:24:24,1726665864660,-4,18/09/2024 09:24:24,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,40145618,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
1,1726680300786,18/09/2024 17:25:00,1726665900786,-4,18/09/2024 09:25:00,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#2,40145634,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1726680302258,18/09/2024 17:25:02,1726665902258,-4,18/09/2024 09:25:02,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#2,40145634,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,1482.9,1466.4,1482.9,1482.9,1466.4,1482.9,1,1482.9,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1726680305240,18/09/2024 17:25:05,1726665905240,-4,18/09/2024 09:25:05,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#2,40145634,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3000.199999988079,2999.5,3000.199999988079,3000.199999988079,2999.5,3000.199999988079,1,3000.199999988079,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
