Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Spreadsheet: timing,Manipulation: Spreadsheet
1,1726595707787,17/09/2024 17:55:07,1726581307787,-4,17/09/2024 09:55:07,187004,3,task-wzke,repeat-3dmk#1,40123975,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1726595714638,17/09/2024 17:55:14,1726581314638,-4,17/09/2024 09:55:14,187004,3,task-wzke,repeat-3dmk#1,40123975,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 1,djhvrt,1,continue,,6353.400000023842,6349.7,6353.400000023842,6353.400000023842,6349.7,6353.400000023842,1,6353.400000023842,0,0,,Click To Continue,Continue Button,6,object-20,instructions,,,,,,
3,1726595715957,17/09/2024 17:55:15,1726581315957,-4,17/09/2024 09:55:15,187004,3,task-wzke,repeat-3dmk#1,40123975,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,2,continue,,1322.7000000238422,1316.3999999999996,1322.7000000238422,1322.7000000238422,1316.3999999999996,1322.7000000238422,1,1322.7000000238422,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,
4,1726595718950,17/09/2024 17:55:18,1726581318950,-4,17/09/2024 09:55:18,187004,3,task-wzke,repeat-3dmk#1,40123975,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,3,timedOut,,3000.599999976159,2999.9000000000015,3000.599999976159,3000.599999976159,2999.9000000000015,3000.599999976159,1,3000.599999976159,0,0,,Time Limit,screen,0,screen,instructions,,,,,,
5,1726595719952,17/09/2024 17:55:19,1726581319952,-4,17/09/2024 09:55:19,187004,3,task-wzke,repeat-3dmk#1,40123975,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,J,1000,1000,1000,1000,1000,1000,0,1000,0,0,,Time Limit,screen,0,screen,image,F,instr_photo.jpg,#FF69B4,,1000ms,
6,1726595720933,17/09/2024 17:55:20,1726581320933,-4,17/09/2024 09:55:20,187004,3,task-wzke,repeat-3dmk#1,40123975,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 2,2al84i,2,continue,,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,1,499.7999999999993,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo.jpg,#FF69B4,,1000ms,
7,1726595721483,17/09/2024 17:55:21,1726581321483,-4,17/09/2024 09:55:21,187004,3,task-wzke,repeat-3dmk#1,40123975,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,2,image,Trials,mxeghn,1,response,F,548.7000000000007,533.2999999999993,548.7000000000007,548.7000000000007,533.2999999999993,548.7000000000007,1,548.7000000000007,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
8,1726595722467,17/09/2024 17:55:22,1726581322467,-4,17/09/2024 09:55:22,187004,3,task-wzke,repeat-3dmk#1,40123975,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,2,image,Screen 2,2al84i,2,continue,,500.1000000000022,500.1000000000022,500.1000000000022,500.1000000000022,500.1000000000022,500.1000000000022,1,500.1000000000022,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
9,1726595723220,17/09/2024 17:55:23,1726581323220,-4,17/09/2024 09:55:23,187004,3,task-wzke,repeat-3dmk#1,40123975,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,3,image,Trials,mxeghn,1,response,F,752.4999999880783,749.7999999999993,752.4999999880783,752.4999999880783,749.7999999999993,752.4999999880783,1,752.4999999880783,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
10,1726595724217,17/09/2024 17:55:24,1726581324217,-4,17/09/2024 09:55:24,187004,3,task-wzke,repeat-3dmk#1,40123975,BLIND,11716965,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1396x632,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,3,image,Screen 2,2al84i,2,continue,,500.1000000000022,500.1000000000022,500.1000000000022,500.1000000000022,500.1000000000022,500.1000000000022,1,500.1000000000022,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
