Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
1,1726678810238,18/09/2024 17:00:10,1726660810238,-5,18/09/2024 07:00:10,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#1,40145041,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Practice Clone,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1726678813540,18/09/2024 17:00:13,1726660813540,-5,18/09/2024 07:00:13,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#1,40145041,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Practice Clone,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,3317.8999999284742,3316.3,3317.8999999284742,3317.8999999284742,3316.3,3317.8999999284742,1,3317.8999999284742,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1726678816540,18/09/2024 17:00:16,1726660816540,-5,18/09/2024 07:00:16,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#1,40145041,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Practice Clone,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3000.999999904632,3000.1000000000004,3000.999999904632,3000.999999904632,3000.1000000000004,3000.999999904632,1,3000.999999904632,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1726678822604,18/09/2024 17:00:22,1726660822604,-5,18/09/2024 07:00:22,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#1,40145041,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Practice Clone,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,6063.499999928474,6049.699999999999,6063.499999928474,6063.499999928474,6049.699999999999,6063.499999928474,1,6063.499999928474,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1726678832144,18/09/2024 17:00:32,1726660832144,-5,18/09/2024 07:00:32,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#1,40145041,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Practice Clone,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,1,8550.499999952317,8549.5,8550.499999952317,8550.499999952317,8549.5,8550.499999952317,0,8550.499999952317,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,2
6,1726678849846,18/09/2024 17:00:49,1726660849846,-5,18/09/2024 07:00:49,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#1,40145041,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Practice Clone,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,4,16706.7,16699.3,16706.7,16706.7,16699.3,16706.7,0,16706.7,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,3
7,1726678850840,18/09/2024 17:00:50,1726660850840,-5,18/09/2024 07:00:50,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#1,40145041,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Practice Clone,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
1,1726678976218,18/09/2024 17:02:56,1726660976218,-5,18/09/2024 07:02:56,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#3,40145103,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Practice Clone,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1726678977614,18/09/2024 17:02:57,1726660977614,-5,18/09/2024 07:02:57,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#3,40145103,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Practice Clone,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,1414.0000000715254,1400,1414.0000000715254,1414.0000000715254,1400,1414.0000000715254,1,1414.0000000715254,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1726678980600,18/09/2024 17:03:00,1726660980600,-5,18/09/2024 07:03:00,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#3,40145103,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Practice Clone,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3000.1000000953672,2999.7,3000.1000000953672,3000.1000000953672,2999.7,3000.1000000953672,1,3000.1000000953672,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1726678980933,18/09/2024 17:03:00,1726660980933,-5,18/09/2024 07:03:00,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#3,40145103,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Practice Clone,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,333.2999999999993,316.6999999999998,333.2999999999993,333.2999999999993,316.6999999999998,333.2999999999993,1,333.2999999999993,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1726678988756,18/09/2024 17:03:08,1726660988756,-5,18/09/2024 07:03:08,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#3,40145103,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Practice Clone,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,6839.500000071525,6833.099999999999,6839.500000071525,6839.500000071525,6833.099999999999,6839.500000071525,1,6839.500000071525,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,2
6,1726678992317,18/09/2024 17:03:12,1726660992317,-5,18/09/2024 07:03:12,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#3,40145103,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Practice Clone,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,5,2568.100000095368,2566.2999999999993,2568.100000095368,2568.100000095368,2566.2999999999993,2568.100000095368,1,2568.100000095368,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,3,3
7,1726678993317,18/09/2024 17:03:13,1726660993317,-5,18/09/2024 07:03:13,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#3,40145103,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Practice Clone,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
1,1726679295588,18/09/2024 17:08:15,1726661295588,-5,18/09/2024 07:08:15,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#1,40145209,BLIND,11716974,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Memory Practice Clone,7,Accurate,2,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1726679298572,18/09/2024 17:08:18,1726661298572,-5,18/09/2024 07:08:18,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#1,40145209,BLIND,11716974,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Memory Practice Clone,7,Accurate,2,,Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,3062.2000000476837,3050.3999999999996,3062.2000000476837,3062.2000000476837,3050.3999999999996,3062.2000000476837,1,3062.2000000476837,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1726679301547,18/09/2024 17:08:21,1726661301547,-5,18/09/2024 07:08:21,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#1,40145209,BLIND,11716974,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Memory Practice Clone,7,Accurate,2,,Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3001.200000023842,3000.1000000000004,3001.200000023842,3001.200000023842,3000.1000000000004,3001.200000023842,1,3001.200000023842,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1726679332168,18/09/2024 17:08:52,1726661332168,-5,18/09/2024 07:08:52,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#1,40145209,BLIND,11716974,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Memory Practice Clone,7,Accurate,2,,Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,30568,30551.4,30568,30568,30551.4,30568,1,30568,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1726679346394,18/09/2024 17:09:06,1726661346394,-5,18/09/2024 07:09:06,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#1,40145209,BLIND,11716974,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Memory Practice Clone,7,Accurate,2,,Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,13290.500000095366,13283.599999999999,13290.500000095366,13290.500000095366,13283.599999999999,13290.500000095366,1,13290.500000095366,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,2
6,1726679361641,18/09/2024 17:09:21,1726661361641,-5,18/09/2024 07:09:21,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#1,40145209,BLIND,11716974,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Memory Practice Clone,7,Accurate,2,,Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,5,14249.599999999999,14233.299999999996,14249.599999999999,14249.599999999999,14233.299999999996,14249.599999999999,1,14249.599999999999,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,3,3
