Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1729002926823,15/10/2024 14:35:26,1728988526823,-4,15/10/2024 06:35:26,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#5,40656517,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1729002929433,15/10/2024 14:35:29,1728988529433,-4,15/10/2024 06:35:29,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#5,40656517,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,,info,,END,2596,,,,
1,1729003588118,15/10/2024 14:46:28,1728978388118,-7,15/10/2024 00:46:28,187004,3,questionnaire-vj9b,repeat-3dmk#4->-repeat-ku6w#2,40656941,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1729003603418,15/10/2024 14:46:43,1728978403418,-7,15/10/2024 00:46:43,187004,3,questionnaire-vj9b,repeat-3dmk#4->-repeat-ku6w#2,40656941,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,END,15271,,,,
1,1729007815594,15/10/2024 15:56:55,1728993415594,-4,15/10/2024 07:56:55,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#1,40662412,BLIND,11852914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1304x681,,,0,Debrieff,3,Inaccurate~Accurate,1,Accurate,,,,,,info,,BEGIN,,,,,
2,1729007996354,15/10/2024 15:59:56,1728993596354,-4,15/10/2024 07:59:56,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#1,40662412,BLIND,11852914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1304x681,,,0,Debrieff,3,Inaccurate~Accurate,1,Accurate,,,,,,info,,END,180741,,,,
1,1729008085059,15/10/2024 16:01:25,1728986485059,-6,15/10/2024 04:01:25,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#2,40662639,BLIND,11852217,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x703,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1729008134709,15/10/2024 16:02:14,1728986534709,-6,15/10/2024 04:02:14,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#2,40662639,BLIND,11852217,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x703,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,END,49618,,,,
1,1729008530933,15/10/2024 16:08:50,1728994130933,-4,15/10/2024 08:08:50,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#3,40662982,BLIND,11852219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1305,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1729008541048,15/10/2024 16:09:01,1728994141048,-4,15/10/2024 08:09:01,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#3,40662982,BLIND,11852219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1305,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,,,,info,,END,10108,,,,
1,1729008571838,15/10/2024 16:09:31,1728994171838,-4,15/10/2024 08:09:31,187004,3,questionnaire-vj9b,repeat-3dmk#4->-repeat-tj2w#2,40663013,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1729008644098,15/10/2024 16:10:44,1728994244098,-4,15/10/2024 08:10:44,187004,3,questionnaire-vj9b,repeat-3dmk#4->-repeat-tj2w#2,40663013,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
