Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1729002193096,15/10/2024 14:23:13,1728987793096,-4,15/10/2024 06:23:13,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#5,40656147,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1729002194644,15/10/2024 14:23:14,1728987794644,-4,15/10/2024 06:23:14,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#5,40656147,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,1555.1779999523164,1546.078,1555.1779999523164,1555.1779999523164,1546.078,1555.1779999523164,1,1555.1779999523164,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,41
3,1729002194645,15/10/2024 14:23:14,1728987794645,-4,15/10/2024 06:23:14,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#5,40656147,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1539,,,,0,,,,,,,,,,,
1,1729006426737,15/10/2024 15:33:46,1728992026737,-4,15/10/2024 07:33:46,187004,3,task-4d82,repeat-3dmk#3->-repeat-ku6w#1,40659997,BLIND,11852244,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,1,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1729006428463,15/10/2024 15:33:48,1728992028463,-4,15/10/2024 07:33:48,187004,3,task-4d82,repeat-3dmk#3->-repeat-ku6w#1,40659997,BLIND,11852244,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,1,Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,1732.466,1716.466,1732.466,1732.466,1716.466,1732.466,1,1732.466,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,34
3,1729006428464,15/10/2024 15:33:48,1728992028464,-4,15/10/2024 07:33:48,187004,3,task-4d82,repeat-3dmk#3->-repeat-ku6w#1,40659997,BLIND,11852244,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,1,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1718,,,,0,,,,,,,,,,,
1,1729006673994,15/10/2024 15:37:53,1728992273994,-4,15/10/2024 07:37:53,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#1,40660972,BLIND,11852914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1304x681,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1729006676432,15/10/2024 15:37:56,1728992276432,-4,15/10/2024 07:37:56,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#1,40660972,BLIND,11852914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1304x681,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,2450.999999976158,2434.4,2450.999999976158,2450.999999976158,2434.4,2450.999999976158,1,2450.999999976158,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,33
3,1729006676432,15/10/2024 15:37:56,1728992276432,-4,15/10/2024 07:37:56,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#1,40660972,BLIND,11852914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1304x681,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2426,,,,0,,,,,,,,,,,
1,1729006994511,15/10/2024 15:43:14,1728985394511,-6,15/10/2024 03:43:14,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#2,40661724,BLIND,11852217,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x703,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
