Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1729007182517,15/10/2024 15:46:22,1728992782517,-4,15/10/2024 07:46:22,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#3,40661960,BLIND,11852219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1305,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1729007184366,15/10/2024 15:46:24,1728992784366,-4,15/10/2024 07:46:24,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#3,40661960,BLIND,11852219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1305,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,4109.200000047684,4104.6,4109.200000047684,4109.200000047684,4104.6,4109.200000047684,1,4109.200000047684,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,58
3,1729007184366,15/10/2024 15:46:24,1728992784366,-4,15/10/2024 07:46:24,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#3,40661960,BLIND,11852219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1305,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1846,,,,0,,,,,,,,,,,
1,1729007357107,15/10/2024 15:49:17,1728992957107,-4,15/10/2024 07:49:17,187004,3,task-7sj6,repeat-3dmk#4->-repeat-tj2w#2,40662103,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1729007360276,15/10/2024 15:49:20,1728992960276,-4,15/10/2024 07:49:20,187004,3,task-7sj6,repeat-3dmk#4->-repeat-tj2w#2,40662103,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,3195.9200000000005,3179.32,3195.9200000000005,3195.9200000000005,3179.32,3195.9200000000005,1,3195.9200000000005,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,64
3,1729007360282,15/10/2024 15:49:20,1728992960282,-4,15/10/2024 07:49:20,187004,3,task-7sj6,repeat-3dmk#4->-repeat-tj2w#2,40662103,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,3161,,,,0,,,,,,,,,,,
1,1729007886289,15/10/2024 15:58:06,1728989886289,-5,15/10/2024 05:58:06,187004,3,task-7sj6,repeat-3dmk#1->-repeat-tj2w#1,40662499,BLIND,11852253,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1600x732,,,0,Advance (Memory),2,Accurate,2,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1729007888420,15/10/2024 15:58:08,1728989888420,-5,15/10/2024 05:58:08,187004,3,task-7sj6,repeat-3dmk#1->-repeat-tj2w#1,40662499,BLIND,11852253,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1600x732,,,0,Advance (Memory),2,Accurate,2,,Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,2149.999999999999,2133.0999999999995,2149.999999999999,2149.999999999999,2133.0999999999995,2149.999999999999,1,2149.999999999999,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,58
3,1729007888424,15/10/2024 15:58:08,1728989888424,-5,15/10/2024 05:58:08,187004,3,task-7sj6,repeat-3dmk#1->-repeat-tj2w#1,40662499,BLIND,11852253,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1600x732,,,0,Advance (Memory),2,Accurate,2,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2098,,,,0,,,,,,,,,,,
1,1729008966947,15/10/2024 16:16:06,1728983766947,-7,15/10/2024 02:16:06,187004,3,task-7sj6,repeat-3dmk#1->-repeat-tj2w#2,40663356,BLIND,11852276,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1900x956,1892x950,,,0,Advance (Memory),2,Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
