Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Manipulation: undefined
1,1728924430365,14/10/2024 16:47:10,1728899230365,-7,14/10/2024 02:47:10,187004,3,task-efz1,,40629775,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728924451245,14/10/2024 16:47:31,1728899251245,-7,14/10/2024 02:47:31,187004,3,task-efz1,,40629775,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,20915.359999999997,20898.559999999998,20915.359999999997,20915.359999999997,20898.559999999998,20915.359999999997,1,20915.359999999997,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1728924451251,14/10/2024 16:47:31,1728899251251,-7,14/10/2024 02:47:31,187004,3,task-efz1,,40629775,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728924446922,14/10/2024 16:47:26,1728902846922,-6,14/10/2024 04:47:26,187004,3,task-efz1,,40629793,BLIND,11852217,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x703,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728924538540,14/10/2024 16:48:58,1728902938540,-6,14/10/2024 04:48:58,187004,3,task-efz1,,40629793,BLIND,11852217,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x864,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,91646.20000002385,91630.5,91646.20000002385,91646.20000002385,91630.5,91646.20000002385,1,91646.20000002385,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1728924538546,14/10/2024 16:48:58,1728902938546,-6,14/10/2024 04:48:58,187004,3,task-efz1,,40629793,BLIND,11852217,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x864,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728924463975,14/10/2024 16:47:43,1728910063975,-4,14/10/2024 08:47:43,187004,3,task-efz1,,40629803,BLIND,11852219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,1278x1304,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728924520705,14/10/2024 16:48:40,1728910120705,-4,14/10/2024 08:48:40,187004,3,task-efz1,,40629803,BLIND,11852219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1305,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,56736.100000000006,56729.9,56736.100000000006,56736.100000000006,56729.9,56736.100000000006,1,56736.100000000006,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1728924520707,14/10/2024 16:48:40,1728910120707,-4,14/10/2024 08:48:40,187004,3,task-efz1,,40629803,BLIND,11852219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1305,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728924560475,14/10/2024 16:49:20,1728910160475,-4,14/10/2024 08:49:20,187004,3,task-efz1,,40629865,BLIND,11852234,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1358x642,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
