Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1729002001077,15/10/2024 14:20:01,1728976801077,-7,15/10/2024 00:20:01,187004,3,task-lon4,repeat-3dmk#4->-repeat-ku6w#1,40656038,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1729002003388,15/10/2024 14:20:03,1728976803388,-7,15/10/2024 00:20:03,187004,3,task-lon4,repeat-3dmk#4->-repeat-ku6w#1,40656038,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2321.66399999851,2316.264,2321.66399999851,2321.66399999851,2316.264,2321.66399999851,1,2321.66399999851,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,35
3,1729002003389,15/10/2024 14:20:03,1728976803389,-7,15/10/2024 00:20:03,187004,3,task-lon4,repeat-3dmk#4->-repeat-ku6w#1,40656038,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2294,,,,0,,,,,,,,,,,
1,1729002038918,15/10/2024 14:20:38,1728987638918,-4,15/10/2024 06:20:38,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#1,40656054,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1729002041676,15/10/2024 14:20:41,1728987641676,-4,15/10/2024 06:20:41,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#1,40656054,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2770.8999999999996,2764.0999999999995,2770.8999999999996,2770.8999999999996,2764.0999999999995,2770.8999999999996,1,2770.8999999999996,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,41
3,1729002041677,15/10/2024 14:20:41,1728987641677,-4,15/10/2024 06:20:41,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#1,40656054,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2751,,,,0,,,,,,,,,,,
1,1729002090457,15/10/2024 14:21:30,1728987690457,-4,15/10/2024 06:21:30,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#2,40656078,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1729002092643,15/10/2024 14:21:32,1728987692643,-4,15/10/2024 06:21:32,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#2,40656078,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2192.4439998569487,2184.6440000000002,2192.4439998569487,2192.4439998569487,2184.6440000000002,2192.4439998569487,1,2192.4439998569487,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,41
3,1729002092643,15/10/2024 14:21:32,1728987692643,-4,15/10/2024 06:21:32,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#2,40656078,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2180,,,,0,,,,,,,,,,,
1,1729002129603,15/10/2024 14:22:09,1728987729603,-4,15/10/2024 06:22:09,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#3,40656095,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
