Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1729007097513,15/10/2024 15:44:57,1728992697513,-4,15/10/2024 07:44:57,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,40661856,BLIND,11852219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1305,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1729007098651,15/10/2024 15:44:58,1728992698651,-4,15/10/2024 07:44:58,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,40661856,BLIND,11852219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1305,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,3403.9999999999995,3397.7,3403.9999999999995,3403.9999999999995,3397.7,3403.9999999999995,1,3403.9999999999995,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,58
3,1729007098652,15/10/2024 15:44:58,1728992698652,-4,15/10/2024 07:44:58,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,40661856,BLIND,11852219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1305,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1135,,,,0,,,,,,,,,,,
1,1729007144413,15/10/2024 15:45:44,1728992744413,-4,15/10/2024 07:45:44,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#2,40661912,BLIND,11852219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1305,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1729007146283,15/10/2024 15:45:46,1728992746283,-4,15/10/2024 07:45:46,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#2,40661912,BLIND,11852219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1305,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,1872.9000000119208,1867,1872.9000000119208,1872.9000000119208,1867,1872.9000000119208,1,1872.9000000119208,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,58
3,1729007146284,15/10/2024 15:45:46,1728992746284,-4,15/10/2024 07:45:46,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#2,40661912,BLIND,11852219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1305,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1866,,,,0,,,,,,,,,,,
1,1729007201647,15/10/2024 15:46:41,1728992801647,-4,15/10/2024 07:46:41,187004,3,task-mkiw,repeat-3dmk#4->-repeat-tj2w#1,40661980,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1729007208234,15/10/2024 15:46:48,1728992808234,-4,15/10/2024 07:46:48,187004,3,task-mkiw,repeat-3dmk#4->-repeat-tj2w#1,40661980,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,6591.4479999999985,6575.147999999999,6591.4479999999985,6591.4479999999985,6575.147999999999,6591.4479999999985,1,6591.4479999999985,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,64
3,1729007208238,15/10/2024 15:46:48,1728992808238,-4,15/10/2024 07:46:48,187004,3,task-mkiw,repeat-3dmk#4->-repeat-tj2w#1,40661980,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,6578,,,,0,,,,,,,,,,,
1,1729008898197,15/10/2024 16:14:58,1728983698197,-7,15/10/2024 02:14:58,187004,3,task-mkiw,repeat-3dmk#1->-repeat-tj2w#1,40663305,BLIND,11852276,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1900x956,1892x950,,,0,Retry (Memory),2,Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1729008900786,15/10/2024 16:15:00,1728983700786,-7,15/10/2024 02:15:00,187004,3,task-mkiw,repeat-3dmk#1->-repeat-tj2w#1,40663305,BLIND,11852276,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1900x956,1892x950,,,0,Retry (Memory),2,Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2595,2584,2595,2595,2584,2595,1,2595,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,62
3,1729008900787,15/10/2024 16:15:00,1728983700787,-7,15/10/2024 02:15:00,187004,3,task-mkiw,repeat-3dmk#1->-repeat-tj2w#1,40663305,BLIND,11852276,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1900x956,1892x950,,,0,Retry (Memory),2,Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2579,,,,0,,,,,,,,,,,
1,1729010820340,15/10/2024 16:47:00,1728996420340,-4,15/10/2024 08:47:00,187004,3,task-mkiw,repeat-3dmk#4->-repeat-tj2w#1,40664630,BLIND,11852269,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x633,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1729010825947,15/10/2024 16:47:05,1728996425947,-4,15/10/2024 08:47:05,187004,3,task-mkiw,repeat-3dmk#4->-repeat-tj2w#1,40664630,BLIND,11852269,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x633,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,5624.12400000298,5616.324,5624.12400000298,5624.12400000298,5616.324,5624.12400000298,1,5624.12400000298,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,66
3,1729010825951,15/10/2024 16:47:05,1728996425951,-4,15/10/2024 08:47:05,187004,3,task-mkiw,repeat-3dmk#4->-repeat-tj2w#1,40664630,BLIND,11852269,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x633,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,5579,,,,0,,,,,,,,,,,
1,1729010995813,15/10/2024 16:49:55,1728992995813,-5,15/10/2024 06:49:55,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,40664741,BLIND,11852267,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1440x900,1440x820,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1729010999113,15/10/2024 16:49:59,1728992999113,-5,15/10/2024 06:49:59,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,40664741,BLIND,11852267,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1440x900,1440x820,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,6375,6365,6375,6375,6365,6375,1,6375,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,60
3,1729010999115,15/10/2024 16:49:59,1728992999115,-5,15/10/2024 06:49:59,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,40664741,BLIND,11852267,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1440x900,1440x820,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,3284,,,,0,,,,,,,,,,,
1,1729011094268,15/10/2024 16:51:34,1728996694268,-4,15/10/2024 08:51:34,187004,3,task-mkiw,repeat-3dmk#4->-repeat-tj2w#2,40664796,BLIND,11852269,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x633,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1729011109620,15/10/2024 16:51:49,1728996709620,-4,15/10/2024 08:51:49,187004,3,task-mkiw,repeat-3dmk#4->-repeat-tj2w#2,40664796,BLIND,11852269,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x633,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,15365.00000000596,15349.6,15365.00000000596,15365.00000000596,15349.6,15365.00000000596,1,15365.00000000596,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,66
3,1729011109629,15/10/2024 16:51:49,1728996709629,-4,15/10/2024 08:51:49,187004,3,task-mkiw,repeat-3dmk#4->-repeat-tj2w#2,40664796,BLIND,11852269,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x633,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,15319,,,,0,,,,,,,,,,,
1,1729011334348,15/10/2024 16:55:34,1728996934348,-4,15/10/2024 08:55:34,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,40664914,BLIND,11852258,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1368x912,1368x757,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1729011337161,15/10/2024 16:55:37,1728996937161,-4,15/10/2024 08:55:37,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,40664914,BLIND,11852258,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1368x912,1368x757,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2825.1999999284744,2819,2825.1999999284744,2825.1999999284744,2819,2825.1999999284744,1,2825.1999999284744,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,60
3,1729011337163,15/10/2024 16:55:37,1728996937163,-4,15/10/2024 08:55:37,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,40664914,BLIND,11852258,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1368x912,1368x757,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2787,,,,0,,,,,,,,,,,
1,1729014594618,15/10/2024 17:49:54,1729014594618,0,15/10/2024 17:49:54,187004,3,task-mkiw,repeat-3dmk#3->-repeat-tj2w#1,40666309,BLIND,11852314,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1041x640,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
