Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1729001879769,15/10/2024 14:17:59,1728976679769,-7,15/10/2024 00:17:59,187004,3,task-x1rt,repeat-3dmk#4->-repeat-ku6w#1,40655974,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1729001892582,15/10/2024 14:18:12,1728976692582,-7,15/10/2024 00:18:12,187004,3,task-x1rt,repeat-3dmk#4->-repeat-ku6w#1,40655974,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,11873.799999999255,11866.000000000002,11873.799999999255,11873.799999999255,11866.000000000002,11873.799999999255,1,11873.799999999255,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1729001921328,15/10/2024 14:18:41,1728976721328,-7,15/10/2024 00:18:41,187004,3,task-x1rt,repeat-3dmk#4->-repeat-ku6w#1,40655974,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,28756.49999999851,28748.199999999997,28756.49999999851,28756.49999999851,28748.199999999997,28756.49999999851,1,28756.49999999851,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1729001930292,15/10/2024 14:18:50,1728976730292,-7,15/10/2024 00:18:50,187004,3,task-x1rt,repeat-3dmk#4->-repeat-ku6w#1,40655974,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,8971.900000000001,8965.800000000003,8971.900000000001,8971.900000000001,8965.800000000003,8971.900000000001,1,8971.900000000001,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1729001934758,15/10/2024 14:18:54,1728976734758,-7,15/10/2024 00:18:54,187004,3,task-x1rt,repeat-3dmk#4->-repeat-ku6w#1,40655974,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,4471.900000000744,4466.799999999996,4471.900000000744,4471.900000000744,4466.799999999996,4471.900000000744,1,4471.900000000744,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1729001944086,15/10/2024 14:19:04,1728976744086,-7,15/10/2024 00:19:04,187004,3,task-x1rt,repeat-3dmk#4->-repeat-ku6w#1,40655974,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,9332.699999999997,9316,9332.699999999997,9332.699999999997,9316,9332.699999999997,1,9332.699999999997,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1729001944095,15/10/2024 14:19:04,1728976744095,-7,15/10/2024 00:19:04,187004,3,task-x1rt,repeat-3dmk#4->-repeat-ku6w#1,40655974,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,END,,,64200,,,,0,,,,,,,,,,,,,,,,
1,1729002010906,15/10/2024 14:20:10,1728976810906,-7,15/10/2024 00:20:10,187004,3,task-x1rt,repeat-3dmk#4->-repeat-ku6w#2,40656045,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1729002015887,15/10/2024 14:20:15,1728976815887,-7,15/10/2024 00:20:15,187004,3,task-x1rt,repeat-3dmk#4->-repeat-ku6w#2,40656045,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,4905.199999997765,4899.700000000001,4905.199999997765,4905.199999997765,4899.700000000001,4905.199999997765,1,4905.199999997765,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1729002021590,15/10/2024 14:20:21,1728976821590,-7,15/10/2024 00:20:21,187004,3,task-x1rt,repeat-3dmk#4->-repeat-ku6w#2,40656045,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,5709.099999999255,5699.5,5709.099999999255,5709.099999999255,5699.5,5709.099999999255,1,5709.099999999255,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1729002022531,15/10/2024 14:20:22,1728976822531,-7,15/10/2024 00:20:22,187004,3,task-x1rt,repeat-3dmk#4->-repeat-ku6w#2,40656045,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,949.9999999977645,933.5,949.9999999977645,949.9999999977645,933.5,949.9999999977645,1,949.9999999977645,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
