Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1729002148753,15/10/2024 14:22:28,1728976948753,-7,15/10/2024 00:22:28,187004,3,task-tak4,repeat-3dmk#4->-repeat-ku6w#2,40656109,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1729002161838,15/10/2024 14:22:41,1728976961838,-7,15/10/2024 00:22:41,187004,3,task-tak4,repeat-3dmk#4->-repeat-ku6w#2,40656109,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,1,instructions,Screen 8,bajjy3,1,continue,,13114.382000002235,13099.081999999999,13114.382000002235,13114.382000002235,13099.081999999999,13114.382000002235,1,13114.382000002235,0,0,,Click To Continue,Continue Button,2,object-1931,instructions,,,,,,,
3,1729002164824,15/10/2024 14:22:44,1728976964824,-7,15/10/2024 00:22:44,187004,3,task-tak4,repeat-3dmk#4->-repeat-ku6w#2,40656109,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,1,instructions,Screen 9,bxwq68,2,timedOut,,3000.9000000000015,2999.9000000000015,3000.9000000000015,3000.9000000000015,2999.9000000000015,3000.9000000000015,1,3000.9000000000015,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,
4,1729002170323,15/10/2024 14:22:50,1728976970323,-7,15/10/2024 00:22:50,187004,3,task-tak4,repeat-3dmk#4->-repeat-ku6w#2,40656109,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,1,image,Screen 3,zz7hbh,1,response,5,5499.300000000003,5482.700000000001,5499.300000000003,5499.300000000003,5482.700000000001,5499.300000000003,1,5499.300000000003,0,0,,Keyboard Response,Image,1,object-1907,image,7,ff52ebec9d07da7fd2f4fc3dd5ab07fa.jpg,target,J,,target,
5,1729002172240,15/10/2024 14:22:52,1728976972240,-7,15/10/2024 00:22:52,187004,3,task-tak4,repeat-3dmk#4->-repeat-ku6w#2,40656109,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,2,image,Screen 3,zz7hbh,1,response,1,1933.300000000003,1916.7000000000007,1933.300000000003,1933.300000000003,1916.7000000000007,1933.300000000003,1,1933.300000000003,0,0,,Keyboard Response,Image,1,object-1907,image,128,05d8821c014d8c5811839b8245fef778.jpg,target,J,,target,
6,1729002176445,15/10/2024 14:22:56,1728976976445,-7,15/10/2024 00:22:56,187004,3,task-tak4,repeat-3dmk#4->-repeat-ku6w#2,40656109,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,3,image,Screen 3,zz7hbh,1,response,2,4223.300000002979,4216.4000000000015,4223.300000002979,4223.300000002979,4216.4000000000015,4223.300000002979,1,4223.300000002979,0,0,,Keyboard Response,Image,1,object-1907,image,104,ff4d01d75d50faf331cafb1b94574410.jpg,target,J,,target,
7,1729002180682,15/10/2024 14:23:00,1728976980682,-7,15/10/2024 00:23:00,187004,3,task-tak4,repeat-3dmk#4->-repeat-ku6w#2,40656109,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,4,image,Screen 3,zz7hbh,1,response,3,4243.900000002977,4233.0999999999985,4243.900000002977,4243.900000002977,4233.0999999999985,4243.900000002977,1,4243.900000002977,0,0,,Keyboard Response,Image,1,object-1907,image,79,ff4a6976c6a7903529752e27103a0547.jpg,target,F,,filler,
8,1729002188045,15/10/2024 14:23:08,1728976988045,-7,15/10/2024 00:23:08,187004,3,task-tak4,repeat-3dmk#4->-repeat-ku6w#2,40656109,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,5,image,Screen 3,zz7hbh,1,response,4,7373.300000002979,7366.0999999999985,7373.300000002979,7373.300000002979,7366.0999999999985,7373.300000002979,1,7373.300000002979,0,0,,Keyboard Response,Image,1,object-1907,image,1761,fec7756d48d357270fcfa030a36914be.jpg,target,J,,target,
9,1729002191981,15/10/2024 14:23:11,1728976991981,-7,15/10/2024 00:23:11,187004,3,task-tak4,repeat-3dmk#4->-repeat-ku6w#2,40656109,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,6,image,Screen 3,zz7hbh,1,response,2,3943.400000002235,3933.300000000003,3943.400000002235,3943.400000002235,3933.300000000003,3943.400000002235,1,3943.400000002235,0,0,,Keyboard Response,Image,1,object-1907,image,1911,06d26db007c559279f26819efcdd8c97.jpg,target,J,,target,
10,1729002193367,15/10/2024 14:23:13,1728976993367,-7,15/10/2024 00:23:13,187004,3,task-tak4,repeat-3dmk#4->-repeat-ku6w#2,40656109,BLIND,11852210,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,7,image,Screen 3,zz7hbh,1,response,1,1396.4000000029773,1383.199999999997,1396.4000000029773,1396.4000000029773,1383.199999999997,1396.4000000029773,1,1396.4000000029773,0,0,,Keyboard Response,Image,1,object-1907,image,303,52ffa3e5889e09af34e5fe0491aa89b8.jpg,target,J,,target,
