"","Participant.Private.ID","Display","emo_rate","Spreadsheet..memory","Img","Object.ID","aff_type"
"1",10773056,"image",6,"target","fec7756d48d357270fcfa030a36914be.jpg","object-51","valence"
"2",10773056,"image",2,"target","fec7756d48d357270fcfa030a36914be.jpg","object-78","arousal"
"3",10773056,"image",6,"target","5f560d80ea8dffbb6034d4d3478377d4.jpg","object-51","valence"
"4",10773056,"image",1,"target","5f560d80ea8dffbb6034d4d3478377d4.jpg","object-78","arousal"
"5",10773056,"image",7,"target","Lake 11.jpg","object-51","valence"
"6",10773056,"image",4,"target","Lake 11.jpg","object-78","arousal"
"7",10773056,"image",1,"target","3ad1eaf82976bfcd62fdf7efe3f73714.jpg","object-51","valence"
"8",10773056,"image",1,"target","3ad1eaf82976bfcd62fdf7efe3f73714.jpg","object-78","arousal"
"9",10773056,"image",1,"target","Landscapes_112_v.jpg","object-51","valence"
"10",10773056,"image",1,"target","Landscapes_112_v.jpg","object-78","arousal"
"11",10773056,"image",2,"target","7096db64fae6464d83aba73b658251b8.jpg","object-51","valence"
"12",10773056,"image",2,"target","7096db64fae6464d83aba73b658251b8.jpg","object-78","arousal"
"13",10773056,"image",2,"target","Destruction 2.jpg","object-51","valence"
"14",10773056,"image",9,"target","Destruction 2.jpg","object-78","arousal"
"15",10773056,"image",4,"target","3ed4c65eb4ba874e455ada92d56a3ff9.jpg","object-51","valence"
"16",10773056,"image",1,"target","3ed4c65eb4ba874e455ada92d56a3ff9.jpg","object-78","arousal"
"17",10773056,"image",7,"target","06d26db007c559279f26819efcdd8c97.jpg","object-51","valence"
"18",10773056,"image",2,"target","06d26db007c559279f26819efcdd8c97.jpg","object-78","arousal"
"19",10773056,"image",6,"target","Solar panel 1.jpg","object-51","valence"
"20",10773056,"image",1,"target","Solar panel 1.jpg","object-78","arousal"
"21",10773056,"image",1,"target","NegMidNonsoc_5.jpg","object-51","valence"
"22",10773056,"image",1,"target","NegMidNonsoc_5.jpg","object-78","arousal"
"23",10773056,"image",7,"target","ccffa36581808a0f8ac1dbc98ffac6d4.jpg","object-51","valence"
"24",10773056,"image",6,"target","ccffa36581808a0f8ac1dbc98ffac6d4.jpg","object-78","arousal"
"25",10773056,"image",2,"target","2f07d5fc0d8464c81783119fa98c83ec.jpg","object-51","valence"
"26",10773056,"image",1,"target","2f07d5fc0d8464c81783119fa98c83ec.jpg","object-78","arousal"
"27",10773056,"image",9,"target","9429c67f6cd1ee28595e7f303408801b.jpg","object-51","valence"
"28",10773056,"image",1,"target","9429c67f6cd1ee28595e7f303408801b.jpg","object-78","arousal"
"29",10773056,"image",8,"target","05e0ccb29e66f0205468594900a6183c.jpg","object-51","valence"
"30",10773056,"image",1,"target","05e0ccb29e66f0205468594900a6183c.jpg","object-78","arousal"
"31",10773056,"image",7,"target","fdba06ca0c1cd11d6ee0d98573e406e8.jpg","object-51","valence"
"32",10773056,"image",1,"target","fdba06ca0c1cd11d6ee0d98573e406e8.jpg","object-78","arousal"
"33",10773056,"image",6,"target","3e63504a056f9ae4d031ef5b232068fc.jpg","object-51","valence"
"34",10773056,"image",1,"target","3e63504a056f9ae4d031ef5b232068fc.jpg","object-78","arousal"
"35",10773056,"image",1,"target","1eafbbd1f74c8a605ae44aaa0c029ff5.jpg","object-51","valence"
"36",10773056,"image",9,"target","1eafbbd1f74c8a605ae44aaa0c029ff5.jpg","object-78","arousal"
